fish,weigth,len,hgt,wdt,eye,head,stdlen,forklen,sidelen,cont1,cont2,area1,area2,sidehgt,toplen,topwdt,eyedst,area3,area4
2,23.71,13.10,2.80,1.60,0.94,3.56,11.70,12.93,13.71,24.74,25.12,23.42,26.15,2.72,11.26,1.45,0.79,14.49,15.06
3,41.08,14.90,3.50,2.10,0.83,3.18,10.84,12.24,12.82,29.13,29.49,25.26,26.75,3.02,12.86,1.85,0.90,20.95,23.07
4,40.10,15.30,3.70,2.00,0.99,4.06,13.85,15.18,15.92,35.65,36.01,32.52,36.44,3.41,15.60,2.23,1.48,20.08,22.00
5,92.05,20.90,4.20,2.50,1.14,5.29,18.25,20.52,21.56,47.18,48.56,59.54,65.44,4.55,20.38,2.81,1.97,40.98,44.28
6,78.81,19.50,4.10,2.50,1.14,5.09,17.83,19.45,20.32,43.83,44.99,58.39,63.65,4.33,20.45,2.74,1.74,30.77,34.77
7,36.04,15.20,3.10,1.80,0.94,3.96,13.55,15.14,15.88,34.40,36.72,34.65,36.72,3.22,15.21,1.90,1.19,18.85,20.66
8,17.11,13.40,2.30,1.80,0.93,3.53,11.62,13.29,13.83,29.13,29.24,21.39,23.84,2.45,12.53,1.36,0.95,11.03,12.04
9,27.23,14.20,2.80,1.70,0.94,3.66,12.26,14.05,14.54,31.67,32.39,25.10,31.19,2.92,11.65,1.59,0.99,16.47,17.43
10,19.02,13.10,2.30,1.40,0.99,3.61,11.82,12.86,13.65,29.73,29.06,20.59,23.48,2.67,11.08,1.36,0.95,14.37,14.93
11,67.88,19.20,3.60,2.30,0.87,4.10,14.43,15.80,16.54,31.36,36.79,34.17,38.43,3.22,20.23,2.37,1.58,30.71,31.41
12,63.34,17.90,3.70,2.80,1.14,4.50,16.07,18.00,18.74,40.54,41.74,44.89,50.01,3.81,15.83,2.15,1.45,28.82,30.08
13,53.71,16.90,3.80,2.10,0.94,4.24,14.28,15.84,16.74,37.20,37.51,35.18,39.81,3.35,17.66,2.27,1.48,23.10,25.39
14,50.12,17.00,3.30,1.90,0.87,3.52,12.78,14.35,14.77,31.94,33.26,27.67,30.76,3.02,18.00,2.23,1.53,22.18,23.99
15,37.38,15.20,2.90,1.80,1.00,3.70,12.91,14.48,15.22,33.40,33.89,29.36,35.07,3.03,15.74,1.93,1.29,21.60,22.86
16,34.52,14.60,2.90,2.00,0.94,3.77,13.16,14.39,15.28,33.64,34.60,30.91,34.40,3.41,14.51,1.93,1.46,19.74,22.11
17,40.59,15.80,3.00,2.00,0.83,3.48,11.54,13.07,13.60,30.40,30.97,23.56,26.81,2.77,13.51,1.70,1.37,22.51,23.86
18,33.64,14.40,3.00,1.90,1.00,3.63,12.91,14.31,14.96,33.49,34.31,30.42,33.67,3.33,12.58,1.78,1.12,18.02,19.78
19,25.07,13.00,2.70,1.70,0.89,3.51,11.68,12.86,13.60,30.48,30.57,23.93,27.22,2.82,13.38,0.84,1.88,13.94,15.20
20,22.68,12.90,2.50,1.60,0.94,3.51,11.58,12.96,13.50,29.82,30.76,22.73,25.24,2.77,13.30,1.63,1.19,14.01,15.39
