fish,weigth,len,hgt,wdt
2,23.71,13.1,2.8,1.6
3,41.08,14.9,3.5,2.1
4,40.1,15.3,3.7,2
5,92.05,20.9,4.2,2.5
6,78.81,19.5,4.1,2.5
7,36.04,15.2,3.1,1.8
8,17.11,13.4,2.3,1.8
9,27.23,14.2,2.8,1.7
10,19.02,13.1,2.3,1.4
11,67.88,19.2,3.6,2.3
12,63.34,17.9,3.7,2.8
13,53.71,16.9,3.8,2.1
14,50.12,17,3.3,1.9
15,37.38,15.2,2.9,1.8
16,34.52,14.6,2.9,2
17,40.59,15.8,3,2
18,33.64,14.4,3,1.9
19,25.07,13,2.7,1.7
20,22.68,12.9,2.5,1.6
21,62.12,18.1,3.5,2.3
22,28.09,13.9,2.7,1.6
23,43.51,16.1,3,1.9
24,57.68,18,3.4,2
25,31.38,14,2.9,1.8
26,43.32,15.4,3.3,2.1
27,34.19,14.7,2.9,1.7
28,25.93,13.5,2.6,1.7
29,41.51,16,3.1,1.8
30,34.77,14.4,2.9,1.8
31,40.05,16.6,2.8,1.7
32,48.02,16.9,3.2,2
33,57.98,18.5,3.5,2.2
34,64.78,18.6,3.6,2.2
35,53.92,17.8,3.3,2
36,58.33,17.8,3.3,1.9
37,53.13,18.3,3.3,1.9
38,55.19,17.5,3.5,2.2
39,37.54,15.9,2.8,1.8
40,66.07,18.3,3.5,2.3
41,19.33,12.7,1.9,1.5
42,36.74,14.8,3,1.9
43,31.24,14,2.9,1.7
44,38.59,15.1,2.9,1.8
45,40.64,14.9,3.2,2
46,33.46,14.7,2.8,1.8
47,18.88,12.2,2.4,1.5
48,33.15,14.5,3,1.8
49,42.01,15.2,3.3,2
50,29.69,14.1,2.8,1.8
51,438.34,34.5,6.9,4.4
52,485.18,36.3,7.2,4.4
53,257.27,29.2,5.8,3.4
54,451.21,35.2,6.6,4.1
55,352.04,31.9,6.6,4
56,405.02,34.3,6.5,4.1
57,490.91,31.5,7.4,4.9
58,435.36,34,7.2,4.6
59,625.15,38.9,7.7,5.3
60,462.69,34.6,7.4,4.5
61,439.38,33.9,6.9,4.4
62,466.87,35.8,7.7,4.5
63,465.01,33.6,7.1,4.4
64,528.53,35.7,7.3,4.8
65,392.27,29.4,6.7,4
66,408.79,33.5,6.4,4.2
67,437.91,33.6,7.6,4.6
68,386.52,32.5,6.7,4.3
69,559.13,37.1,7.4,5
70,578.18,37.4,7.7,4.9
71,360.78,32.6,6.7,4.1
72,535.57,36.7,7.7,4.9
73,406.59,33.4,6.9,4.6
74,652.21,37.6,8.3,5.7
75,423.68,33.5,7.3,4.7
76,424.32,33,7.3,4.8
77,519.64,36.2,7.7,5
78,431.37,34.8,7.2,4.6
79,493.65,35.9,7.2,4.8
80,440.09,34.5,6.9,4.4
81,497.98,35.3,7.3,4.7
82,112.82,23.4,4.4,3.6
83,152.17,24.5,4.8,3.1
84,108.76,22.4,4.3,2.7
85,113.7,23.2,4.3,2.6
86,106.23,22.1,4.3,2.7
87,116.59,23.6,4.4,2.5
88,127.74,23.3,4.5,2.8
89,112.88,23.4,4.3,2.7
90,100.09,21.8,4.2,2.6
91,100.78,22.6,4.2,2.5
92,120.94,22.9,4.6,2.9
93,93.48,23,4.1,2.7
94,107.22,22.9,4.3,2.6
95,106.53,22.5,4.5,2.7
96,164.11,26,4.9,3
97,106.62,22.8,4.3,2.6
98,155.39,23.7,4.7,3.3
99,140.87,22.5,4.5,2.8
100,201.81,25.6,5.4,3.5
101,177.49,24.8,5.2,3.3
102,163.72,23.4,5.1,3.5
103,141.35,23.1,4.8,3
104,146.18,23.4,4.7,3
105,203.77,25.6,5.7,3.6
106,185.3,24.5,5.2,3.4
107,159.15,23.7,4.9,3.3
108,152.63,23.1,5.1,3.5
109,139.11,22.8,4.7,2.9
110,144.79,22.6,4.9,3.4
111,159.48,23.5,5.2,3.3
112,154.56,23.2,4.8,3.1
113,157.1,24.9,4.8,3.1
114,171.25,24.3,5.2,3.4
115,147.59,23.9,4.8,3.2
116,223.13,26.7,5.7,3.8
117,185.61,25.3,5.2,3.5
118,207.01,25,5.6,3.6
119,220.95,26.3,5.6,3.6
120,165.38,24.9,5,3.2
121,119.19,21.9,4.5,2.9
122,213.32,25.6,5.5,3.6
123,162.7,24.1,5.1,3.4
124,133.91,22.4,4.8,2.9
125,174.02,25.5,5.1,3.3
126,186.21,25.4,5,3.3
127,125.98,22.4,4.6,2.9
128,169.61,24.7,5.1,3.3
129,163.22,23.6,5.1,3.2
130,158.01,23.6,5,3.3
131,169,23.8,5,3.4
132,160.17,24.3,5.1,3.1
133,222.98,25.9,5.7,3.7
134,132.6,21.6,4.8,3.2
135,185.46,25,5.1,3.5
136,176.01,24.7,4.9,3.4
137,141.49,22.8,4.7,3.2
138,140.77,23.4,4.6,3.1
139,188.12,24.8,5.3,3.4
140,167.31,24.5,5.1,3.3
141,125.43,23.4,4.3,2.9
142,143.32,24,4.5,3.1
143,202.94,25.5,5.5,3.8
144,145.83,23.4,4.7,3.1
145,191.33,25.5,5.2,3.5
146,199.54,26.5,5.4,3.5
147,158.22,24.5,4.8,3
