fish,weigth,eye,head,stdlen,forklen,sidelen,cont1,cont2,area1,area2,sidehgt
2,23.71,0.94,3.56,11.7,12.93,13.71,24.74,25.12,23.42,26.15,2.72
3,41.08,0.83,3.18,10.84,12.24,12.82,29.13,29.49,25.26,26.75,3.02
4,40.1,0.99,4.06,13.85,15.18,15.92,35.65,36.01,32.52,36.44,3.41
5,92.05,1.14,5.29,18.25,20.52,21.56,47.18,48.56,59.54,65.44,4.55
6,78.81,1.14,5.09,17.83,19.45,20.32,43.83,44.99,58.39,63.65,4.33
7,36.04,0.94,3.96,13.55,15.14,15.88,34.4,36.72,34.65,36.72,3.22
8,17.11,0.93,3.53,11.62,13.29,13.83,29.13,29.24,21.39,23.84,2.45
9,27.23,0.94,3.66,12.26,14.05,14.54,31.67,32.39,25.1,31.19,2.92
10,19.02,0.99,3.61,11.82,12.86,13.65,29.73,29.06,20.59,23.48,2.67
11,67.88,0.87,4.1,14.43,15.8,16.54,31.36,36.79,34.17,38.43,3.22
12,63.34,1.14,4.5,16.07,18,18.74,40.54,41.74,44.89,50.01,3.81
13,53.71,0.94,4.24,14.28,15.84,16.74,37.2,37.51,35.18,39.81,3.35
14,50.12,0.87,3.52,12.78,14.35,14.77,31.94,33.26,27.67,30.76,3.02
15,37.38,1,3.7,12.91,14.48,15.22,33.4,33.89,29.36,35.07,3.03
16,34.52,0.94,3.77,13.16,14.39,15.28,33.64,34.6,30.91,34.4,3.41
17,40.59,0.83,3.48,11.54,13.07,13.6,30.4,30.97,23.56,26.81,2.77
18,33.64,1,3.63,12.91,14.31,14.96,33.49,34.31,30.42,33.67,3.33
19,25.07,0.89,3.51,11.68,12.86,13.6,30.48,30.57,23.93,27.22,2.82
20,22.68,0.94,3.51,11.58,12.96,13.5,29.82,30.76,22.73,25.24,2.77
21,62.12,0.99,4.5,16.32,18.01,18.84,41.2,42.27,44.48,49.93,3.86
22,28.09,0.82,2.96,10.26,11.41,11.98,26.98,27.54,26.53,29.58,2.38
23,43.51,0.99,4.2,14.33,15.75,16.32,36.81,37.1,35.22,39.32,3.36
24,57.68,1.04,4.75,16.42,17.85,18.79,41.23,42.51,44.15,48.39,3.76
25,31.38,0.9,3.39,12.17,13.35,13.92,31.01,31.85,25.57,29.58,3.16
26,43.32,0.94,3.96,13.06,14.57,15.18,35.5,36.02,34.27,38.32,3.44
27,34.19,0.99,3.81,13.06,14.44,15.33,34.18,35.3,30.73,34.71,3.31
28,25.93,0.99,3.51,11.92,13.56,14.14,31.01,32.18,24.03,28.47,2.97
29,41.51,0.94,3.96,13.63,15.09,15.75,34.92,35.99,31.76,34.96,3.21
30,34.77,0.95,3.75,13.19,14.54,15.34,33.68,34.52,31.87,34.87,3.36
31,40.05,0.94,4.2,14.98,16.42,17.31,37.48,38.3,36.28,39.41,3.27
32,48.02,1,4.38,15.18,16.72,17.56,38.47,39.26,39.49,44.25,3.43
