fish,weigth,toplen,topwdt,eyedst,area3,area4
2,23.71,11.26,1.45,0.79,14.49,15.06
3,41.08,12.86,1.85,0.9,20.95,23.07
4,40.1,15.6,2.23,1.48,20.08,22
5,92.05,20.38,2.81,1.97,40.98,44.28
6,78.81,20.45,2.74,1.74,30.77,34.77
7,36.04,15.21,1.9,1.19,18.85,20.66
8,17.11,12.53,1.36,0.95,11.03,12.04
9,27.23,11.65,1.59,0.99,16.47,17.43
10,19.02,11.08,1.36,0.95,14.37,14.93
11,67.88,20.23,2.37,1.58,30.71,31.41
12,63.34,15.83,2.15,1.45,28.82,30.08
13,53.71,17.66,2.27,1.48,23.1,25.39
14,50.12,18,2.23,1.53,22.18,23.99
15,37.38,15.74,1.93,1.29,21.6,22.86
16,34.52,14.51,1.93,1.46,19.74,22.11
17,40.59,13.51,1.7,1.37,22.51,23.86
18,33.64,12.58,1.78,1.12,18.02,19.78
19,25.07,13.38,0.84,1.88,13.94,15.2
20,22.68,13.3,1.63,1.19,14.01,15.39
21,62.12,18.89,2.47,1.48,27.9,31.96
22,28.09,13.31,1.78,1.24,15.65,16.83
23,43.51,16.05,2.03,1.37,22.01,24.38
24,57.68,18.91,2.29,1.59,26.8,27.97
25,31.38,14.24,1.79,1.13,16.15,16.85
26,43.32,15.32,2.12,1.32,16.86,21.02
27,34.19,15.47,1.83,1.39,18.39,21.09
28,25.93,13.8,1.58,1.04,16.19,16.58
29,41.51,15.68,1.85,1.37,18.04,20.28
30,34.77,14.46,1.95,1.38,19.66,20.61
31,40.05,17.52,2.03,1.43,18.82,19.83
32,48.02,16.61,1.32,2.12,24.01,25.39
33,57.98,18.12,2.17,1.46,24.37,26.07
34,64.78,19.37,2.32,1.78,28.75,30.12
35,53.92,17.99,2.09,1.52,25.38,28.6
36,58.33,18.93,2.23,1.59,18.03,19.96
37,53.13,18.96,2.37,1.54,23.96,25
38,55.19,17.77,2.32,1.43,28.36,30.83
39,37.54,15.99,1.93,1.46,19.53,20.22
40,66.07,16.53,2.1,1.29,27.48,30.24
41,19.33,14.16,1.69,1.19,11.87,13.07
42,36.74,14.75,2.03,1.32,17.67,20.64
43,31.24,14.45,2.09,1.29,18.06,19.92
44,38.59,15.03,2.09,1.33,21.32,23.51
45,40.64,15.45,2.42,1.43,22.93,25.05
46,33.46,14.61,1.89,1.23,19.15,20.84
47,18.88,12.79,1.63,0.94,14,14.93
48,33.15,15.04,2.03,1.19,16.92,17.91
49,42.01,16.5,2.08,1.04,20.79,23.11
50,29.69,14.82,1.89,1.19,18.01,18.27
51,438.34,35.86,4.73,3.14,92.22,102.02
52,485.18,38.82,5.44,3.37,116.99,128.55
53,257.27,29.94,3.87,2.97,62.13,69.06
54,451.21,36,4.44,3.23,112.56,121.91
55,352.04,41.75,4.34,2.95,93.83,98.86
56,405.02,35.23,4.63,3.09,114.56,124.56
57,490.91,38.3,5.25,3.88,109.57,115.3
58,435.36,34.55,4.82,3.02,99.1,107.31
59,625.15,39.47,5.4,3.39,135.32,147.13
60,462.69,37.54,5.2,3.24,109.53,114.42
61,439.38,34.76,4.81,3.11,114.15,125.81
62,466.87,36.73,5.09,2.78,107.64,114.65
63,465.01,35.1,5.09,2.83,110.14,120.65
64,528.53,36.81,5.33,3.16,114.86,124.77
65,392.27,31.91,4.6,2.97,83.21,89.23
66,408.79,34.5,4.71,3.25,111.37,122.55
67,437.91,34.79,4.95,2.67,102.59,113.79
68,386.52,33.24,4.53,3.07,101,109
69,559.13,40.54,5.44,3.41,119.67,130.11
70,578.18,40.54,5.69,3.27,113.38,117.22
71,360.78,33.15,4.2,3.21,99.06,108.52
72,535.57,37.48,5.52,3.49,126.87,144.81
73,406.59,33.05,4.73,2.7,113.54,119.91
74,652.21,40.57,6.23,3.61,122.91,133.5
75,423.68,34.71,4.76,2.93,107.15,113.16
76,424.32,32.43,4.82,2.79,91.4,97.4
77,519.64,39.46,5.74,3.32,114.88,123.9
78,431.37,35.65,4.62,3.02,109,121.89
79,493.65,38.41,5.29,3.07,115.61,123.82
80,440.09,35.63,4.71,3.07,108.99,118.73
81,497.98,36.38,5.33,2.98,114.39,121.69
82,112.82,23.73,2.83,2.03,44.1,45.65
83,152.17,25.45,3.16,2.22,53.85,56.92
84,108.76,23.76,2.97,1.83,39.22,42.06
85,113.7,23.47,2.83,1.98,39.83,43.16
86,106.23,23.6,2.92,1.98,36.12,37.87
87,116.59,23.12,2.64,1.79,41.54,42.81
88,127.74,22.9,2.81,1.99,36.99,40.42
89,112.88,24.05,3.02,2.03,46.34,51.14
90,100.09,22.22,3.02,1.7,44.37,47.39
91,100.78,23.75,2.84,1.86,34.45,36.82
92,120.94,24.45,3.07,2.03,39.61,41.74
93,93.48,23.55,2.99,2.09,41.94,48.41
94,107.22,24.61,3.02,1.98,43.95,45.3
95,106.53,22.91,2.93,2.03,40.69,44.19
96,164.11,28.04,3.46,2.42,57.39,59.02
97,106.62,23.31,2.69,1.89,37.07,39.25
98,155.39,24.61,3.49,2.11,47.68,51.34
99,140.87,23.18,3.08,1.91,39.75,42.58
100,201.81,25.19,3.5,2.23,53.68,54.97
101,177.49,23.83,3.18,2.12,53.34,56.34
102,163.72,24.4,3.6,2.13,46.53,51.5
103,141.35,22.72,3.04,1.88,40.74,42.94
104,146.18,23.44,3.13,2.03,44.35,47.88
105,203.77,28.43,3.87,2.28,65.58,69.06
106,185.3,24.77,3.65,2,52.33,53.82
107,159.15,24.85,3.41,2.13,46.61,52.88
108,152.63,22.84,3.35,2.12,47.34,50.23
109,139.11,23.46,3.07,2.08,44.85,46.6
110,144.79,22.41,3.23,1.87,44.19,47.12
111,159.48,24.71,3.58,2.11,51.33,54.8
112,154.56,23.89,3.26,2.09,48.79,52.5
113,157.1,23.96,2.82,2.07,41.8,45.12
114,171.25,24.06,3.14,2.01,47.73,50.4
115,147.59,22.71,2.93,1.9,42.34,44.85
116,223.13,26.26,3.43,2.27,57.02,59.6
117,185.61,23.63,3.15,2,47.08,48.19
118,207.01,25.74,3.71,2.34,60.54,61.44
119,220.95,26.03,3.65,2.39,58.72,63.73
120,165.38,24.78,3.21,2.17,48.56,52.51
121,119.19,22.64,2.8,2.06,39.66,43.41
122,213.32,27.09,3.93,2.21,64.26,69.19
123,162.7,23.64,3.28,1.83,46.65,48.97
124,133.91,22.07,2.88,1.85,38.39,42.45
125,174.02,26.43,3.33,2.17,53.55,55.4
126,186.21,26.44,3.39,2.26,56.62,60.28
127,125.98,21.91,2.9,1.87,38.61,41.29
128,169.61,22.87,3.15,2.17,45.29,46.2
129,163.22,24.28,3.16,2.23,49.84,52.36
130,158.01,24.2,3.39,2.06,50.82,53.73
131,169,23.6,3.3,2.05,46.89,49.2
132,160.17,24.67,3.26,2.04,49.72,54.54
133,222.98,25.08,3.67,2.26,56.21,58.35
134,132.6,20.74,3.48,1.99,43.37,47.61
135,185.46,26.36,3.43,2.11,56,60.57
136,176.01,28.12,3.83,2.35,60.04,65.65
137,141.49,22.43,3.11,1.99,42.3,45.43
138,140.77,24.54,3.07,1.98,47.56,49.76
139,188.12,25.85,3.51,2.23,56.99,59.1
140,167.31,25.54,3.34,2.11,52.93,55.6
141,125.43,23.44,2.92,1.98,42.51,44.08
142,143.32,24.63,3.19,1.91,48.23,51.14
143,202.94,26.31,3.93,2.24,58.47,62.17
144,145.83,23.05,3.04,2.01,43.33,45.19
145,191.33,25.24,3.37,2.16,52.25,54.71
146,199.54,27.26,3.59,2.11,57.74,59.98
147,158.22,27.64,3.36,2.07,55.9,66.69
